Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,47.5188,49.0531,47.5188,49.0531,46735.739561432
2019-09-02,48.9652,49.0531,48.4382,48.8335,12783.722576138
2019-09-03,48.57,49.4913,48.4821,49.4913,28339.957537285
2019-09-04,49.097,49.9734,47.6057,47.7374,42970.27600869
2019-09-05,47.7374,48.9652,47.7374,48.8335,29596.857749605
2019-09-06,48.7896,49.097,48.3074,48.8774,43798.782731978
2019-09-09,48.526,49.4034,48.3952,49.1848,57162.77423947
2019-09-10,49.1848,49.4913,48.2196,48.3074,51637.65038948
2019-09-11,48.3074,49.623,46.291,46.291,72974.578910456
2019-09-12,46.4667,47.1675,44.5811,45.4136,132789.41259792
2019-09-13,45.5015,46.4228,45.0642,45.3267,41874.677990284
2019-09-16,44.6689,45.2389,44.4494,44.7129,87097.947629558
2019-09-17,44.8885,44.8885,43.4154,44.1868,162923.59518829
2019-09-18,44.625,45.8967,44.4054,45.8089,65591.337579919
2019-09-19,45.6332,45.9846,45.196,45.5893,35298.995046164
2019-09-20,45.2389,45.5893,43.9233,44.055,106994.67799058
2019-09-23,44.2746,44.8885,44.0111,44.1868,29520.396320022
2019-09-24,44.1868,44.7568,44.1868,44.4933,101765.97310733
2019-09-25,44.8446,44.8446,43.5739,43.6607,39682.43453663
2019-09-26,43.8364,44.625,43.5376,44.625,53357.508846671
2019-09-27,44.8446,44.8446,44.099,44.7129,49272.583156631
2019-09-30,44.7129,44.9764,44.055,44.7568,76178.627035028
2019-10-01,44.3186,45.0203,44.3186,44.8885,26696.560509677
2019-10-02,44.8885,44.9324,44.099,44.2746,122187.459307
2019-10-03,44.2746,44.8446,43.9672,44.2746,56494.522293253
2019-10-04,44.3186,44.625,44.055,44.4054,43404.953998784
2019-10-07,44.4933,44.4933,44.2746,44.3186,48855.711252878
2019-10-08,44.4494,45.4575,44.3186,44.7568,114488.94550654
2019-10-09,44.7568,44.8007,44.2307,44.2307,46849.907997384
2019-10-10,44.7129,44.7129,44.0111,44.0111,220013.05024871
2019-10-11,44.2307,45.4136,43.9672,45.2389,30879.943383015
2019-10-14,45.2389,45.3697,44.2746,44.8007,58460.52370869
2019-10-15,44.8885,45.5015,43.6082,43.6082,68415.173390265
2019-10-16,43.8364,44.1868,43.3982,44.0111,79714.706299022
2019-10-17,44.1868,45.5454,44.0111,45.5454,58488.803963468
