Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,121.66,125.55,121.66,122.86,227751
2019-09-02,124.35,126.34,122.86,124.15,110867
2019-09-03,124.55,127.94,120.96,126.05,152702
2019-09-04,122.76,134.51,122.36,131.43,371090
2019-09-05,131.92,135.41,131.63,132.02,151154
2019-09-06,133.32,139,131.72,137.01,164295
2019-09-09,138.4,144.28,137.7,143.48,139051
2019-09-10,144.48,144.78,141.09,143.38,73545
2019-09-11,143.28,144.38,142.69,143.48,155411
2019-09-12,143.78,143.98,138.2,141.19,142450
2019-09-13,140.49,141.79,137.01,138.6,133987
2019-09-16,137.6,138.6,128.2,132.7,344318
2019-09-17,132,132.8,130.6,131.4,170472
2019-09-18,131,135.2,129.8,130.2,292006
2019-09-19,130.2,131.2,126.5,127.5,160659
2019-09-20,128.1,129.2,126,126.2,246702
2019-09-23,127,128.7,122.2,123.2,178545
2019-09-24,124.3,127.7,123.9,125.9,184778
2019-09-25,126,130.1,123.3,130,482183
2019-09-26,131,136.4,130,136.4,149279
2019-09-27,136.8,140.7,135.5,139.1,141788
2019-09-30,142.3,144,136.3,138.3,216944
2019-10-01,138.4,141.1,131.6,132.5,252597
2019-10-02,132.5,133.7,127.5,128.9,299257
2019-10-03,128.1,129.3,124,126.3,127413
2019-10-04,127,129.5,126.5,127.7,157532
2019-10-07,129.3,129.3,125.2,127.2,99123
2019-10-08,127.3,128.8,125.8,128,95149
2019-10-09,128,128.5,126.4,126.6,99765
2019-10-10,127,128.5,127,128,45342
2019-10-11,128.6,128.9,126.6,128,121108
2019-10-14,128,132.3,127.7,129.1,117614
2019-10-15,130,131.2,127.1,128.3,66672
2019-10-16,128,134.3,127.9,133,87271
2019-10-17,132.9,134.8,131.6,132,105206
2019-10-18,132,132.1,128.5,129,84043
2019-10-21,129.4,130.9,125.1,125.2,135160
2019-10-22,126.4,126.8,123.3,125.4,165132
2019-10-23,125.5,126.4,123.4,125.5,90183
2019-10-24,126.8,127.1,123.8,124.9,83192
2019-10-25,125.1,126.2,124.3,124.8,26016
2019-10-28,125.8,127.3,125,126.3,88343
2019-10-29,127.4,129,125.3,128.6,136823
2019-10-30,126,128.2,122.2,123,251599
2019-10-31,123.2,123.3,110.9,111.6,563654
2019-11-04,112.7,114.2,111.2,113.5,306600
2019-11-05,114,114.3,111.3,112.2,114612
2019-11-06,112.2,112.9,110.4,111.3,187029
2019-11-07,112.7,113.9,111.6,112.3,81244
2019-11-08,112.5,113,111.6,112,72167
2019-11-12,112,113.5,111.6,112,105172
2019-11-13,112,113.3,111.2,111.9,69881
2019-11-14,112.2,116.4,112,114.5,126123
2019-11-15,114.9,116.7,113.7,116.7,86293
2019-11-18,116.7,117.2,114.8,116,67985
2019-11-19,115.8,116.2,112.5,113,98544
2019-11-20,112.1,114.1,111.1,113.5,76753
2019-11-21,113.5,113.7,111.2,112.5,89790
2019-11-22,113.3,115.5,112.5,112.8,116929
2019-11-25,112.8,114.5,112.5,114.5,40549
2019-11-26,114,114,110.6,110.6,244691
2019-11-27,111.8,113.8,111,112.4,87204
2019-11-28,112.5,112.5,111.5,112.2,30893
2019-11-29,111.5,113.7,111.5,112.4,37425
2019-12-02,113,113.7,106.7,106.7,121457
2019-12-03,106.7,108.4,103.5,104.9,92859
2019-12-04,105.7,108.3,105,108.1,78881
2019-12-05,108.4,111.6,108.4,109.2,83096
2019-12-06,109.8,113.5,107.9,112.9,107252
2019-12-09,112.3,113.4,107.6,107.8,58628
2019-12-10,109,109.4,107.2,108,55808
2019-12-11,107.1,108.8,105.4,106,83916
2019-12-12,106,109.8,105.7,109.3,94851
2019-12-13,110,113.7,108.5,111.9,93580
2019-12-16,111.5,112.8,111,111.5,64650
2019-12-17,112,112,108.1,108.5,137069
2019-12-18,108.4,108.5,105.8,106.4,169362
2019-12-19,106.5,107.9,105.4,107.6,187270
2019-12-20,108,111,106.2,106.6,205033
2019-12-23,107,107.5,106.2,107.4,79856
2019-12-27,108.1,110.7,107.4,109.2,66187
2019-12-30,108.6,110.6,108.2,110,66137
2020-01-02,110,115.9,109.2,115.9,155242
2020-01-03,116,116,112.1,114,92002
2020-01-07,114.9,115.3,113,113.4,100034
2020-01-08,112.6,113.5,110.8,111.4,81951
2020-01-09,104,104,100.2,101.3,819686
2020-01-10,102.4,102.5,97.05,97.05,580466
2020-01-13,98,98.65,93.3,96.45,214045
2020-01-14,96.5,98.05,94.65,96.95,190036
2020-01-15,96.55,98.5,96.45,98.05,115663
2020-01-16,98.45,98.75,96.2,96.95,71646
2020-01-17,97,97.95,95.15,96.95,90215
2020-01-20,97,97.45,95.5,95.5,67608
2020-01-21,95.6,96.7,94.15,95.7,70479
2020-01-22,95.9,96.4,94.2,94.65,75471
2020-01-23,94.55,94.65,91.05,91.75,165556
2020-01-24,91.7,92.6,90.5,91.2,142323
2020-01-27,90.5,90.5,85.6,87.5,188533
2020-01-28,88,89.65,83.35,88,255621
2020-01-29,88,90.45,85.65,89.1,494614
2020-01-30,88.4,100.8,88.4,100,520148
2020-01-31,100,101.5,95.6,96.95,507962
