Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,240.519,249.952,239.747,243.41,839505.88452739
2019-09-02,243.41,244.271,238.213,240.519,198877.1877155
2019-09-03,240.232,241.004,237.055,239.658,195334.01816088
2019-09-04,241.004,244.558,240.707,241.767,299022.49588846
2019-09-05,243.41,245.142,241.291,242.351,228895.62336045
2019-09-06,243.697,246.003,241.479,245.815,209932.03837607
2019-09-09,247.062,251.773,246.775,250.14,306781.70380961
2019-09-10,250.14,251.011,238.114,239.559,428137.53426078
2019-09-11,240.519,244.271,240.034,242.44,244144.28548987
2019-09-12,244.37,245.043,239.559,241.479,180676.38944732
2019-09-13,241.479,243.41,238.599,239.272,175880.43111377
2019-09-16,239.074,243.984,237.926,241.093,268827.25537551
2019-09-17,240.707,241.192,239.074,240.519,153459.55322494
2019-09-18,240.331,240.707,235.224,236.095,287571.60232357
2019-09-19,236.194,238.401,234.551,235.521,145218.42574931
2019-09-20,236.669,237.728,231.671,234.848,450830.18648956
2019-09-23,234.848,237.629,227.434,234.175,227367.01898744
2019-09-24,234.462,239.074,233.116,239.074,208530.73350802
2019-09-25,239.559,239.559,231.958,235.61,146797.54579889
2019-09-26,235.709,238.787,235.709,238.599,91269.703799613
2019-09-27,237.926,238.5,235.135,235.808,68421.463287002
2019-09-30,236.283,236.283,232.819,234.175,129664.64893341
2019-10-01,234.848,235.709,228.879,231.671,353144.99176556
2019-10-02,230.998,231.087,225.128,225.415,225341.34035699
2019-10-03,224.168,231.572,224.168,229.939,151790.51527107
2019-10-04,230.414,234.749,227.632,229.651,162986.80982604
2019-10-07,230.711,231.77,227.048,227.048,135648.73597989
2019-10-08,228.78,228.879,222.238,224.356,219421.91337651
2019-10-09,226.088,229.553,224.455,229.166,116040.57096248
2019-10-10,229.939,230.414,221.278,221.763,245660.7661005
2019-10-11,224.069,228.592,223.198,228.008,172974.76939746
2019-10-14,229.166,233.789,225.128,233.789,142375.40347195
2019-10-15,234.749,238.886,233.878,237.441,157027.98061784
2019-10-16,237.54,237.54,231.671,231.859,140110.28053455
2019-10-17,231.473,233.116,225.801,225.801,240716.29167783
2019-10-18,226.088,229.364,223.871,226.088,108732.97318986
2019-10-21,228.493,229.553,223.198,224.168,103388.41460876
2019-10-22,224.168,228.008,222.337,225.702,181890.78631207
2019-10-23,225.9,227.533,224.455,226.474,102021.46040077
2019-10-24,228.008,234.363,226.662,232.73,275257.90100287
2019-10-25,232.73,235.224,231.384,233.205,140477.02434645
2019-10-28,233.304,235.61,233.205,235.61,69901.572610503
2019-10-29,235.709,238.886,235.323,236.669,246698.35809725
2019-10-30,235.808,244.657,235.808,244.657,336720.32468559
2019-10-31,244.657,247.25,240.806,242.539,205081.52311182
2019-11-04,247.062,248.893,244.271,248.507,272667.45710836
2019-11-05,248.695,249.952,244.37,245.518,222330.60603342
2019-11-06,246.29,249.655,243.598,249.655,182145.38532198
2019-11-07,249.952,257.742,249.655,257.356,283221.19225736
2019-11-08,255.911,255.911,250.912,250.912,248254.24093561
2019-11-12,252.733,253.99,246.775,250.14,317331.39770449
2019-11-13,250.14,256.683,250.14,255.238,276813.78384122
2019-11-14,256.109,256.297,248.794,251.1,264678.90801558
2019-11-15,251.486,254.852,250.714,252.545,185592.57509112
2019-11-18,254.852,255.624,253.218,255.624,126007.31394974
2019-11-19,255.911,257.356,253.505,255.436,136744.92616146
2019-11-20,255.139,256.871,253.703,256.871,186406.88779743
2019-11-21,256.871,257.257,250.14,253.416,203083.12294671
2019-11-22,255.822,258.702,251.773,255.911,217683.16378898
2019-11-25,256.871,257.742,253.604,255.911,114510.95627594
2019-11-26,256.683,257.841,253.793,256.396,427157.53013533
2019-11-27,257.356,258.227,255.05,258.227,137193.5053694
2019-11-28,257.841,258.989,256.683,258.989,62543.459161317
2019-11-29,258.989,258.989,251.1,252.545,254790.96948377
2019-12-02,253.99,254.852,244.172,247.735,357356.98887796
2019-12-03,248.22,251.971,247.161,247.25,218460.09489462
2019-12-04,249.566,252.159,248.22,250.427,211240.39439924
2019-12-05,251.585,252.733,250.14,252.06,166032.90512321
2019-12-06,251.585,254.278,248.309,251.387,140533.60190421
2019-12-09,252.446,253.891,247.735,253.891,96943.624591956
2019-12-10,253.99,253.99,247.25,247.349,143185.67492413
2019-12-11,247.25,249.566,243.41,243.41,198356.87624682
2019-12-12,245.716,248.982,242.826,248.22,225682.8263306
2019-12-13,248.893,250.813,243.41,244.845,193195.1844149
2019-12-16,245.33,248.022,242.925,246.676,135665.91130992
2019-12-17,247.923,253.99,244.172,252.644,236072.89068752
2019-12-18,254.565,258.514,250.912,257.93,282115.90925401
2019-12-19,258.316,261.681,256.109,258.514,335185.65843139
2019-12-20,259.761,260.82,257.643,259.86,322980.06065855
2019-12-23,261.681,269.382,259.949,269.382,294728.66338001
2019-12-27,270.342,274.192,266.689,267.165,212175.94472931
2019-12-30,266.689,271.975,266.591,268.897,166328.92698791
2020-01-02,271.302,275.924,270.342,275.924,174088.13490907
2020-01-03,276.112,278.814,270.441,275.152,253592.73763553
2020-01-07,276.211,277.468,272.173,273.034,221256.64274954
