Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,26.264,27.12,26.153,27.064,795253
2019-09-02,27.418,27.474,26.618,26.934,314594
2019-09-03,26.934,26.934,26.32,26.636,463589
2019-09-04,27.083,27.083,26.358,26.507,978986
2019-09-05,26.785,26.785,25.335,25.763,805961
2019-09-06,25.912,26.451,25.818,26.079,521969
2019-09-09,26.023,26.897,25.93,26.543,353824
2019-09-10,26.543,26.73,25.93,26.618,509443
2019-09-11,26.804,26.823,25.818,26.004,496921
2019-09-12,25.837,26.135,25.353,25.763,224606
2019-09-13,25.558,26.171,25.427,25.799,274341
2019-09-16,25.763,26.041,25.111,26.023,546883
2019-09-17,26.041,26.041,25.316,25.54,341467
2019-09-18,25.52,25.948,25.483,25.93,399656
2019-09-19,25.52,25.855,24.925,25.111,275520
2019-09-20,25.297,25.335,24.237,24.571,1202937
2019-09-23,24.237,24.497,23.53,23.753,733880
2019-09-24,23.976,24.553,23.549,24.367,1009425
2019-09-25,24.219,24.255,23.921,24.088,664728
2019-09-26,24.107,24.479,23.939,24.46,492157
2019-09-27,24.665,25.204,24.479,25.037,487570
2019-09-30,25.204,25.204,24.144,24.571,679608
2019-10-01,24.479,24.609,23.995,24.255,177994
2019-10-02,24.107,24.963,24.032,24.553,756745
2019-10-03,24.163,25.595,24.163,25.279,528918
2019-10-04,25.632,26.004,24.981,25.427,542866
2019-10-07,25.54,25.54,25.111,25.427,196180
2019-10-08,25.204,25.669,25.204,25.669,278994
2019-10-09,25.763,25.948,25.558,25.669,392952
2019-10-10,25.725,25.799,25.52,25.707,116604
2019-10-11,25.799,25.799,25.223,25.446,176740
2019-10-14,25.037,26.004,25.037,25.874,237498
2019-10-15,25.743,25.874,24.907,24.963,292960
2019-10-16,24.963,25.725,24.963,25.52,317442
2019-10-17,25.502,25.912,25.297,25.52,291775
2019-10-18,25.335,25.688,25.186,25.502,440997
2019-10-21,25.13,25.427,25.13,25.297,188560
2019-10-22,25.316,25.93,25.074,25.93,581878
2019-10-23,25.948,25.948,25.316,25.52,380274
2019-10-24,25.763,25.763,25.335,25.483,367111
2019-10-25,25.632,25.837,25.391,25.614,238379
2019-10-28,25.837,25.986,25.576,25.855,216579
2019-10-29,26.004,26.339,25.743,26.302,580466
2019-10-30,26.358,26.487,26.023,26.32,230590
2019-10-31,26.376,26.395,25.465,25.763,568742
2019-11-04,26.209,26.581,25.93,26.525,600182
2019-11-05,26.525,26.543,26.209,26.543,306974
2019-11-06,26.153,26.99,26.153,26.525,266541
2019-11-07,26.971,26.971,26.543,26.692,242348
2019-11-08,26.953,26.953,26.451,26.692,325652
2019-11-12,26.339,27.4,26.339,26.971,496661
2019-11-13,27.231,27.231,26.469,26.841,351603
2019-11-14,26.971,27.231,25.855,26.302,735173
2019-11-15,26.135,26.711,25.874,26.711,228686
2019-11-18,26.767,26.879,26.284,26.879,209311
