Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,29,30.14,29,29.72,371751
2019-09-02,30,30.1,28.72,29.14,240875
2019-09-03,29.16,29.16,27.54,27.68,352749
2019-09-04,27.96,28.16,26.34,26.5,615326
2019-09-05,26.98,28.54,26.1,28.32,579789
2019-09-06,28.34,29.36,27.68,28.38,586195
2019-09-09,28.2,29.46,28,28.2,369360
2019-09-10,28.32,28.46,27.4,28.06,387066
2019-09-11,28.16,29,27.54,28.04,497977
2019-09-12,28.26,28.7,27.7,28.1,296510
2019-09-13,28.2,28.58,27.84,28.02,173274
2019-09-16,28.38,28.92,27.86,28.86,393683
2019-09-17,28.8,29.12,28.06,28.4,528931
2019-09-18,28.4,28.4,27.74,27.96,440721
2019-09-19,27.9,27.9,26.3,26.4,624311
2019-09-20,26.4,26.66,25.96,26,580616
2019-09-23,26.18,26.48,23.62,24.08,896524
2019-09-24,24,24.3,22.86,23.76,684549
2019-09-25,23.88,23.94,22.76,23.26,544393
2019-09-26,23.66,23.78,22.58,22.66,591925
2019-09-27,22.66,23.28,22.12,22.98,498604
2019-09-30,23.16,23.18,21.46,21.78,674462
2019-10-01,22.1,22.1,21.02,21.46,826538
2019-10-02,21.4,21.64,20.26,20.26,772505
2019-10-03,20.12,20.96,19.49,20.1,770577
2019-10-04,20.48,21.16,20.1,20.66,848792
2019-10-07,21.2,21.2,19.85,20.08,785064
2019-10-08,20,20.22,19.1,19.13,917831
2019-10-09,19.15,20.38,18.83,20,993683
2019-10-10,20.5,21.28,20.04,21.24,1416116
2019-10-11,21.86,23.88,21.6,23.4,2066251
2019-10-14,24,24.36,21.5,21.5,2075210
2019-10-15,21.64,22.58,20.32,20.7,2057965
2019-10-16,20.7,21.1,20.24,20.5,767686
2019-10-17,20.56,20.8,19.78,19.8,1402327
2019-10-18,19.86,19.92,18.86,19.03,2418435
2019-10-21,19.2,22.14,19.15,22.14,2101775
2019-10-22,22.48,22.8,20.24,20.74,2376929
2019-10-23,20.74,21.2,19.85,20.02,1379130
2019-10-24,20.16,20.84,19.52,20.2,1318833
2019-10-25,20.46,21.16,20.22,20.64,1156676
2019-10-28,20.96,20.96,19.82,20.12,1440071
2019-10-29,20.2,20.9,20.02,20.38,734494
2019-10-30,20.42,20.42,19.7,19.85,876076
2019-10-31,19.9,19.97,19.08,19.36,1277868
2019-11-04,19.6,20.56,17.42,20.56,3520555
2019-11-05,20.98,21.86,20.56,21.42,2609640
2019-11-06,21.4,22.4,21.06,21.8,1200866
2019-11-07,22,22.14,20.8,21.06,1364015
2019-11-08,20.72,21.54,19.62,20.8,2704509
2019-11-12,21.46,21.46,20,20,1330428
2019-11-13,20,20.34,19.7,19.97,653122
2019-11-14,19.98,20.98,19.83,20.58,908011
2019-11-15,20.64,20.84,20.06,20.28,490635
2019-11-18,20.3,20.8,20.08,20.36,722470
2019-11-19,20.36,20.8,20.36,20.56,444508
2019-11-20,20.7,20.7,20.14,20.44,714688
2019-11-21,20.34,21.08,20,20.88,1082733
2019-11-22,21.5,22.18,20.72,20.86,1701176
2019-11-25,20.86,21.38,20.22,20.22,1166088
2019-11-26,20.32,21.14,20.06,21,6904436
2019-11-27,21.26,21.58,20.6,20.8,1260774
2019-11-28,20.7,21.16,20.58,20.7,280217
2019-11-29,20.7,21.22,20.44,20.9,786382
2019-12-02,21,21.48,20.44,20.44,972564
2019-12-03,20.4,20.6,19.53,19.6,1308433
2019-12-04,19.5,19.93,18.8,18.8,2025376
2019-12-05,18.95,19.19,18.38,18.87,1005849
2019-12-06,18.88,19.86,18.48,19.63,925175
2019-12-09,19.7,20.52,19.39,20.52,1005236
2019-12-10,20.48,21.04,20.24,20.48,1026828
2019-12-11,20.48,20.66,19.9,20.36,600065
2019-12-12,20.4,20.78,20.3,20.76,530785
2019-12-13,20.92,21.18,20.54,20.56,609697
2019-12-16,20.54,20.74,20.32,20.6,262174
2019-12-17,20.68,20.76,20.12,20.56,417785
2019-12-18,20.5,20.52,19.9,20.2,990932
2019-12-19,20.24,20.32,19.82,20,581294
2019-12-20,20,20.3,19.81,19.81,976091
2019-12-23,19.81,20.16,19.67,20.02,639872
2019-12-27,20.16,20.88,20.1,20.6,632619
2019-12-30,20.66,21.42,20.44,21.38,999221
2020-01-02,21.86,24.24,21.68,24.24,2279639
2020-01-03,23.96,24.14,23.14,23.28,1517380
2020-01-07,23.74,24.58,23.68,24.22,1477786
2020-01-08,23.98,25.5,21.7,21.88,3412091
2020-01-09,22.3,22.74,21.44,22.44,1971931
2020-01-10,22.94,22.98,22.22,22.54,901070
2020-01-13,22.9,22.9,22.32,22.7,749645
2020-01-14,22.86,24.16,22.8,23.64,1609072
2020-01-15,23.7,23.92,23.2,23.58,619121
2020-01-16,23.7,23.72,22.7,23.1,984845
2020-01-17,22.9,23.2,22.42,22.68,600074
2020-01-20,22.9,22.9,21.52,21.64,1247202
2020-01-21,21.5,21.82,20.88,21.14,981897
2020-01-22,21.12,21.66,20.78,20.94,636518
2020-01-23,20.8,21.08,20.34,20.56,634891
2020-01-24,20.58,20.88,20.5,20.54,325458
2020-01-27,20.38,20.44,19.04,19.2,1133956
2020-01-28,19.36,20.14,18.6,20.14,1175591
2020-01-29,20.32,20.9,19.91,19.99,936354
2020-01-30,19.5,19.74,19.1,19.25,831301
2020-01-31,19.25,19.4,18.6,18.8,1188612
2020-02-03,18.8,19.86,17.55,19.71,1962088
2020-02-04,20.3,20.6,19.28,19.78,1314946
2020-02-05,19.71,19.96,19.24,19.24,723542
2020-02-06,19.27,19.49,18.55,18.89,736380
2020-02-07,18.95,19.07,18.47,18.79,808446
2020-02-10,19,19.06,18.12,18.2,554424
2020-02-11,18.38,18.54,17.91,18.35,686869
2020-02-12,18.56,19.1,18.37,18.84,940206
2020-02-13,18.68,18.8,17.96,18.02,1099243
2020-02-14,18.1,18.32,17.68,17.88,768587
2020-02-17,17.94,18.38,17.77,18.3,334137
2020-02-18,18.12,18.24,17.85,17.85,491705
2020-02-19,17.84,17.98,17.04,17.18,1830643
2020-02-20,17.1,17.16,16.01,16.01,1345616
2020-02-21,16,16.46,15.2,16.01,1237248
2020-02-24,15.5,15.77,14.74,14.75,1456556
2020-02-25,14.8,15.16,14.23,14.31,1209698
2020-02-26,14.01,14.63,13.73,14.3,1390378
2020-02-27,14.1,14.14,12.94,13.11,1612924
2020-02-28,12.44,14.98,12.11,13.53,3443956
2020-03-02,14.5,14.73,13.56,14.19,1733034
2020-03-03,14.55,15.35,14.25,15.15,2306907
2020-03-04,15.2,15.2,14.53,14.54,933222
2020-03-05,14.86,14.87,13.8,14.15,856891
2020-03-06,13.8,13.95,13.26,13.85,1091974
2020-03-09,12.8,13.21,12.16,12.5,1436022
2020-03-10,12.7,12.96,11.92,12.08,1271177
2020-03-11,12.18,12.35,10.81,10.85,1602381
2020-03-12,10.1,10.24,9.13,9.13,2265492
2020-03-13,9.74,10.75,9.41,10,2468884
2020-03-16,10,11.64,9.51,11.5,1966435
2020-03-17,12,14.3,11.72,13.98,3150873
2020-03-18,14,15,12.6,13.25,3674042
2020-03-19,13.3,14.15,13,14,1542094
2020-03-20,14.3,14.64,13.48,13.61,2285135
