Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,235.658,239.595,234.489,239.595,2876.2773721343
2019-09-02,239.595,241.951,237.229,241.951,580.291970777
2019-09-03,241.951,243.522,240.38,243.522,2039.7810218067
2019-09-04,243.522,249.806,243.522,243.522,2187.5912407782
2019-09-05,240.38,250.591,240.38,250.591,2014.598540056
2019-09-06,250.199,256.875,248.628,255.304,3464.2335764876
2019-09-09,255.304,260.802,252.153,260.802,6423.7226274503
2019-09-10,261.195,261.588,252.555,252.555,3444.5255472914
2019-09-11,255.697,255.697,246.271,247.057,1237.226277317
2019-09-12,251.769,251.769,237.631,237.631,3979.9270071215
2019-09-13,236.453,239.595,234.882,235.658,3791.6058392467
2019-09-16,235.658,237.229,234.882,236.453,4410.2189779052
2019-09-17,236.453,237.631,234.489,235.658,3665.6934304932
2019-09-18,237.229,237.229,234.087,235.658,3442.3357662696
2019-09-19,235.658,235.658,232.516,234.882,2875.1824816234
2019-09-20,234.882,234.882,223.876,234.882,15747.810218275
2019-09-23,232.124,233.704,225.447,230.945,1685.0364962751
2019-09-24,232.516,234.087,230.945,232.918,929.5620437541
2019-09-25,234.882,241.166,232.918,235.658,2804.0145984149
2019-09-26,235.658,238.417,234.087,236.846,1819.7080291158
2019-09-27,237.229,240.38,235.658,237.229,3967.8832115016
2019-09-30,239.595,239.595,233.311,233.311,730.2919707703
2019-10-01,234.882,234.882,230.945,230.945,2999.999999866
2019-10-02,232.516,232.516,219.556,226.635,5429.5620435531
2019-10-03,228.598,228.598,221.127,225.84,3655.8394158951
2019-10-04,225.84,227.027,222.305,222.305,4772.6277370131
2019-10-07,222.305,222.698,221.529,222.305,1193.430656881
2019-10-08,223.876,223.876,219.163,219.163,2680.2919706832
2019-10-09,219.163,222.305,219.163,219.958,793.7956204025
2019-10-10,222.305,222.305,219.163,219.958,327.3722627591
2019-10-11,222.305,223.876,219.958,222.698,2789.7810217732
2019-10-14,222.305,222.305,219.163,222.305,970.0729926574
2019-10-15,222.698,222.698,219.556,220.351,250.7299269961
2019-10-16,222.305,222.305,219.958,221.922,203.6496350274
2019-10-17,222.698,222.698,221.529,222.305,624.087591213
2019-10-18,223.876,223.876,221.922,223.493,387.5912408586
2019-10-21,223.876,224.671,223.493,224.671,695.2554744215
2019-10-22,226.635,226.635,223.876,226.635,545.2554744282
2019-10-23,227.027,238.417,227.027,237.229,1935.7664232712
2019-10-24,237.631,245.477,237.631,245.477,3100.7299268688
2019-10-25,246.664,248.235,243.522,245.878,2126.2773721678
2019-10-28,245.878,245.878,243.129,245.878,6753.2846712312
2019-10-29,245.093,245.093,238.8,241.951,6399.6350362105
2019-10-30,243.522,243.522,232.516,235.658,4508.7591238862
2019-10-31,236.846,241.166,236.846,241.166,763.1386860973
2019-11-04,241.166,250.199,241.166,249.806,3615.3284669918
