Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,6647.43,6955.09,6600.81,6927.12,2722.9887640769
2019-09-02,6955.09,6992.39,6899.15,6983.06,858.6373850969
2019-09-03,6931.78,6992.39,6740.66,6768.63,1346.47599593
2019-09-04,6773.29,6861.86,6731.33,6787.27,2911.4954035071
2019-09-05,6880.51,6880.51,6698.71,6805.92,887.6384065477
2019-09-06,6815.24,6815.24,6614.8,6689.38,1965.8549540578
2019-09-09,6740.66,6824.57,6684.72,6810.58,1866.4228805122
2019-09-10,6777.95,6805.92,6661.41,6782.62,1979.3197140171
2019-09-11,6759.3,6852.54,6712.69,6805.92,1668.5944841871
2019-09-12,6997.04,7309.37,6997.04,7202.16,4726.1307457143
2019-09-13,7258.1,7407.26,7062.31,7383.96,5576.4821246824
2019-09-16,7360.65,7724.25,7290.72,7710.27,5460.4780388792
2019-09-17,7733.58,7761.55,7575.08,7668.31,4581.1256384603
2019-09-18,7724.25,7728.92,7505.15,7672.98,2233.0786517116
2019-09-19,7710.27,7742.9,7579.75,7705.61,1966.8907048239
2019-09-20,7733.58,7775.53,7500.5,7682.3,6767.5955056974
2019-09-23,7677.64,7724.25,7500.5,7677.64,1486.3023493535
2019-09-24,7714.93,7714.93,7598.39,7617.04,846.2083759037
2019-09-25,7551.78,7719.59,7551.78,7700.95,1325.760980608
2019-09-26,7728.92,7878.08,7682.3,7878.08,1521.5178754009
2019-09-27,7934.02,8059.88,7854.78,7961.99,1818.7783452716
2019-09-30,8017.93,8059.88,7868.77,8017.93,2727.1317671413
2019-10-01,8064.55,8064.55,7850.11,7999.29,3583.697650706
2019-10-02,7822.14,7924.71,7458.54,7878.08,10014.674157421
2019-10-03,7878.08,7971.32,7486.51,7500.5,1345.4402451639
2019-10-04,7551.78,7603.05,7388.62,7411.93,1421.0500510892
2019-10-07,7505.15,7505.15,7374.63,7444.56,739.5260469954
2019-10-08,7444.56,7500.5,7239.44,7383.96,2460.9438202536
2019-10-09,7383.96,7383.96,7286.07,7351.32,1406.5495403638
2019-10-10,7360.65,7407.26,7216.14,7262.75,1563.983656811
2019-10-11,7276.74,7570.42,7276.74,7509.82,2151.2543411897
2019-10-14,7514.48,7584.4,7458.54,7551.78,1278.1164453674
2019-10-15,7570.42,7645.01,7505.15,7547.11,669.0949949006
2019-10-16,7551.78,7617.04,7435.23,7505.15,1597.1276813262
2019-10-17,7500.5,7645.01,7458.54,7598.39,932.17568949
2019-10-18,7598.39,7603.05,7388.62,7481.85,1225.2931562963
2019-10-21,7411.93,7514.48,7337.34,7397.94,746.7763023581
2019-10-22,7393.28,7645.01,7332.68,7598.39,1817.7425945055
2019-10-23,7598.39,7612.37,7444.56,7505.15,1065.7875383169
2019-10-24,7547.11,7561.1,7360.65,7430.57,1706.9172625328
2019-10-25,7416.59,7514.48,7393.28,7435.23,1143.4688457744
2019-10-28,7374.63,7700.95,7374.63,7700.95,1208.7211440387
2019-10-29,7719.59,7789.52,7551.78,7645.01,1858.1368743834
2019-10-30,7645.01,7756.89,7570.42,7705.61,1335.0827375029
2019-10-31,7738.24,7766.2,7551.78,7603.05,2864.8866190326
2019-11-04,7691.62,7831.47,7682.3,7775.53,1892.3166496647
2019-11-05,7747.56,7910.72,7719.59,7836.13,1536.0183861263
2019-11-06,7738.24,7934.02,7710.27,7756.89,1900.6026557935
2019-11-07,7840.8,7985.3,7794.17,7924.71,1748.3472931768
2019-11-08,7924.71,7971.32,7878.08,7943.35,1142.4330950083
2019-11-12,7920.04,8157.78,7831.47,7952.67,3356.8682329301
2019-11-13,8017.93,8017.93,7882.75,7924.71,2150.2185904236
2019-11-14,7971.32,7971.32,7850.11,7920.04,1964.8192032917
2019-11-15,7920.04,7966.66,7892.07,7961.99,2872.1368743953
2019-11-18,7999.29,8087.85,7971.32,8064.55,1454.1940756044
2019-11-19,8120.49,8120.49,7924.71,7980.64,2815.1705822598
2019-11-20,7980.64,8017.93,7784.86,7850.11,4702.308478094
2019-11-21,7794.17,8017.93,7794.17,8017.93,2727.1317671413
2019-11-22,8017.93,8195.07,8013.27,8134.48,2387.4055158605
2019-11-25,8227.7,8251.01,8101.84,8204.4,1371.3340143164
2019-11-26,8129.81,8204.4,8073.87,8157.78,5017.1767109884
2019-11-27,8139.13,8237.03,8045.9,8134.48,2069.4300306678
2019-11-28,8078.54,8190.42,8069.21,8115.82,639.0582226837
2019-11-29,8069.21,8157.78,8027.26,8111.17,2389.4770173927
2019-12-02,7952.67,8139.13,7952.67,8106.51,2944.6394280223
2019-12-03,8106.51,8204.4,7901.39,7957.33,2673.2727273041
2019-12-04,7957.33,8115.82,7938.69,7994.63,2386.3697650944
2019-12-05,8064.55,8204.4,8013.27,8148.46,1896.4596527291
2019-12-06,8204.4,8344.25,8111.17,8129.81,900.0674157409
2019-12-09,8017.93,8120.49,7975.98,8022.6,1156.9336057337
2019-12-10,8059.88,8120.49,7980.64,8055.23,972.5699693679
2019-12-11,8069.21,8106.51,7943.35,8031.91,2195.791624132
2019-12-12,8153.12,8204.4,8017.93,8204.4,2648.4147089177
2019-12-13,8241.69,8265,8148.46,8237.03,1786.6700715225
2019-12-16,8260.34,8265,8162.45,8185.75,1553.62614915
2019-12-17,8129.81,8316.28,8106.51,8283.64,2885.6016343546
2019-12-18,8283.64,8283.64,7961.99,8134.48,3258.4719101506
2019-12-19,8162.45,8199.73,8097.18,8157.78,3356.8682329301
2019-12-20,7971.32,8204.4,7971.32,8129.81,5458.406537347
2019-12-23,8129.81,8204.4,8069.21,8157.78,1172.4698672252
2019-12-27,8241.69,8297.62,8157.78,8251.01,752.9908069547
