Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,315,325,315,322.6,22024
2019-09-02,324.2,325.4,321.4,325.2,3879
2019-09-03,322,327.6,320.2,322,25434
2019-09-04,318,322,313,315.8,20674
2019-09-05,318,320.2,308.2,318,12396
2019-09-06,313,317,310,310.6,14547
2019-09-09,315.8,326.8,312,326,10484
2019-09-10,328.4,328.4,322,324.6,12218
2019-09-11,325,329,318.2,321.2,11573
2019-09-12,324,334,320.6,330.8,27503
2019-09-13,330,340.2,322.8,327.6,25182
2019-09-16,327.6,331.8,325.8,329,22611
2019-09-17,326,329,320.6,327,15756
2019-09-18,328.8,328.8,318.8,321.4,13214
2019-09-19,318.4,323.6,318.4,319,8309
2019-09-20,316.4,321.8,306,316.8,76148
2019-09-23,316.8,330.8,309.6,328,29531
2019-09-24,330,348,328.2,343,93662
2019-09-25,345.8,346.8,335.6,340.4,53976
2019-09-26,342.4,348,337,340,41904
2019-09-27,340,371,331.8,363,58854
2019-09-30,363,365,341.6,347.6,26427
2019-10-01,350,350,336.6,345,28159
2019-10-02,345,345.8,338.4,341.6,26130
2019-10-03,341.6,368.8,323.2,348.6,76924
2019-10-04,348.4,351,342,346.8,33172
2019-10-07,348.6,351,338.4,344,19090
2019-10-08,341.6,351.8,337.6,351.8,35001
2019-10-09,352,357,351,352,19537
2019-10-10,349.6,359.2,345.2,355.6,24306
2019-10-11,355,367.2,352,364,24291
2019-10-14,358,372,356.2,364.2,38051
2019-10-15,367,379,365.6,376.8,27003
2019-10-16,376.8,388.6,369.2,386.8,30413
2019-10-17,388.2,395,382,385,66200
2019-10-18,385,385,373.8,378.2,32017
2019-10-21,378.8,385,372.6,375,23323
2019-10-22,378,382,373,380.4,24620
2019-10-23,382.8,382.8,376.6,380.2,32679
2019-10-24,382,382,373.6,376.8,27312
2019-10-25,373.8,378.6,367.4,367.6,15058
2019-10-28,369.8,378.8,365,378.4,18023
2019-10-29,380,380,369.8,370.2,18944
2019-10-30,373,379.4,370,378.8,15680
2019-10-31,384.2,384.8,380,381.8,36255
2019-11-04,385,398.4,385,394.4,41228
2019-11-05,394.4,399,390.4,399,36216
2019-11-06,398.8,398.8,392.2,392.4,30098
2019-11-07,395.4,397.2,388.4,390.8,37989
2019-11-08,390.8,390.8,381.4,382.8,20738
2019-11-12,380.2,393.6,378,386.6,31207
2019-11-13,394,394,385.2,387.6,17792
2019-11-14,393.6,395,381.2,382.8,20065
2019-11-15,381.8,388.4,380,388.4,11060
2019-11-18,389,390.4,385.8,390.2,15406
2019-11-19,389,392.6,379.8,381.4,11682
2019-11-20,381,387,381,387,11972
2019-11-21,379,387.4,379,384.4,23669
2019-11-22,380,390,380,389.2,15900
2019-11-25,390,390,385.6,388,11078
2019-11-26,383.8,388.2,378.6,381.2,57348
2019-11-27,380,385,371.4,374.4,14309
2019-11-28,372.2,379,370.2,373.8,9584
2019-11-29,368,376.4,367,372.2,11171
2019-12-02,379.4,379.4,359.8,362,14088
2019-12-03,361,369.4,357.4,358,10369
2019-12-04,355.4,368.4,355.4,358.2,14983
2019-12-05,358.2,362.4,352.6,354.8,16811
2019-12-06,357.6,364.4,353.2,353.4,12644
2019-12-09,351,358.6,347.2,355,11470
2019-12-10,361.4,368,353.6,367.8,8209
2019-12-11,365.6,371,359.8,360,8636
2019-12-12,358.4,371.6,358.4,371,15483
2019-12-13,375,381.8,372,380.8,14670
2019-12-16,383,384.8,363.6,367.4,13670
2019-12-17,373.8,374.2,364.4,368.2,20976
2019-12-18,369.6,371.8,363.2,371.8,17778
2019-12-19,371.8,376,370.6,376,13748
2019-12-20,368.6,379.8,366,374.2,57404
2019-12-23,373,389.8,373,389.8,23130
2019-12-27,390,392,384,388.2,8411
2019-12-30,387.2,392,387.2,389.4,21330
2020-01-02,385,397.8,385,394.4,12711
2020-01-03,385,396.4,385,396.4,17102
2020-01-07,396,398.2,389,392,13167
2020-01-08,393.4,394,387,392.4,8732
2020-01-09,397.6,404.8,395.8,400,23232
2020-01-10,402,405,382.4,383.6,14948
2020-01-13,383,385.8,375,377.6,16327
2020-01-14,376,386.8,369.2,385,22238
2020-01-15,385,393.6,382.2,390.4,15927
2020-01-16,390.4,390.4,377.6,389.4,12355
2020-01-17,382.2,392,382.2,384.8,11860
2020-01-20,378.6,386.6,378.6,382.8,4834
2020-01-21,380,389.8,375,387.2,7126
2020-01-22,389.8,389.8,376,380.6,15420
2020-01-23,383.4,383.4,376.2,378.4,8430
2020-01-24,378.4,385.8,372.2,379,8000
2020-01-27,361.4,375.6,361.4,362.4,10792
2020-01-28,366,367,357,359.8,12261
2020-01-29,359,364.6,357.6,363.8,11591
2020-01-30,364.6,369,359.2,368.8,17365
2020-01-31,369.4,371.2,364.2,371.2,36357
2020-02-03,372,372.2,364.4,370.6,21738
2020-02-04,370.8,375,363.8,370,36280
2020-02-05,364,385.8,364,381.4,14113
2020-02-06,387.2,399,384.6,389.6,19690
2020-02-07,390,394.8,383.6,390.4,11841
2020-02-10,390,393.8,385,392,11516
2020-02-11,394,397,387.8,394.6,5652
2020-02-12,389.2,389.6,371.2,374.2,32622
2020-02-13,375.6,379,370,377.4,8235
2020-02-14,380,380,371.2,372.8,8992
2020-02-17,375.6,377,371.8,374,3049
2020-02-18,371,374,364.2,365,12006
2020-02-19,365,367.2,355.6,363.8,11982
2020-02-20,370,373.8,364.2,370.2,7869
2020-02-21,370.2,376,369.6,374.8,10572
2020-02-24,367.4,374,359.6,363.4,9309
2020-02-25,370.6,370.6,335,337.8,21729
2020-02-26,344.6,345,333.4,333.4,17986
2020-02-27,326.8,336.8,321.2,324.2,16489
2020-02-28,321,326.8,298,298,42576
2020-03-02,304,307,288.2,296.8,40944
2020-03-03,305,335.4,298.2,330.4,25817
2020-03-04,331,331,314,317.2,29914
2020-03-05,325,325,306,309.2,13766
2020-03-06,300.6,305,295,301.8,21850
2020-03-09,296.6,296.6,263.6,263.6,28741
2020-03-10,263.6,268.8,241.4,243.8,30397
2020-03-11,255.6,255.6,225,229.6,41848
2020-03-12,213,217.6,192.1,192.1,38145
2020-03-13,208,212.8,186.5,208.4,78690
2020-03-16,210,218.8,188,198.2,56682
2020-03-17,208.4,241.6,200,233.4,52285
2020-03-18,238,242.4,220.2,242,29780
2020-03-19,244.8,261.2,230.2,241.4,45853
2020-03-20,255,259,242,248.4,78195
2020-03-23,248.4,248.4,224,224,42703
2020-03-24,237,237,216.8,225,53732
2020-03-25,233,233.2,212,219.4,31776
2020-03-26,219.4,230.2,219,225.6,18338
2020-03-27,231,231,216.6,222,40281
2020-03-30,225,226.6,216,224.4,24145
2020-03-31,221,229.4,220,221.8,27771
2020-04-01,218.6,220.4,212.2,212.4,43986
2020-04-02,214.2,214.2,206.2,213.6,36009
2020-04-03,209.4,217.6,203.4,217.6,36541
2020-04-06,222,228.8,217.6,228,31769
2020-04-07,230,239.8,228.4,229.6,35572
2020-04-08,231,234.6,218,224.4,32026
2020-04-09,224,230,223.4,229,47953
2020-04-14,233.6,236.2,232,235,37159
2020-04-15,242.4,242.6,223,223,30179
2020-04-16,227.4,229,218.2,222.4,45835
2020-04-17,228,228,217,217.8,20256
2020-04-20,220,222,209,217.6,38211
2020-04-21,218,218,208,208,21081
2020-04-22,210.2,220.8,208.2,216.2,22125
2020-04-23,219,220.6,216.2,219,19397
2020-04-24,219.8,219.8,212,212,11822
2020-04-27,216.2,217,202.2,202.4,23386
2020-04-28,202.2,209,197.1,201.4,48096
2020-04-29,201.4,216.4,201.4,214.4,35501
2020-04-30,217,221,214,219,51921
2020-05-04,220,220,204.4,204.4,27037
2020-05-05,207.4,208,198,198,31713
2020-05-06,200,200.2,190.5,190.5,44962
2020-05-07,196,197.5,188.2,188.2,20337
2020-05-08,192,192.5,188.3,188.3,14338
2020-05-11,191,191.5,181,184.5,25796
2020-05-12,185,187.4,181,184.6,31154
2020-05-13,184.6,194.8,184.6,190.3,33725
2020-05-14,189.5,190.6,180,183.6,21083
2020-05-15,186.1,188.6,182.3,182.3,24955
2020-05-18,183.6,187.9,181.5,185.9,24307
2020-05-19,189.6,189.6,183.4,186.8,18452
2020-05-20,187,189,184.3,187.2,18841
2020-05-21,187.2,188,185,185,14379
2020-05-22,185,187.2,181.8,183.9,22785
2020-05-25,186.2,187.6,183.2,184,21075
2020-05-26,186,187.1,185.5,186,123863
2020-05-27,188.6,214.2,187.4,207.8,213310
2020-05-28,213,226.4,204.4,212,144937
2020-05-29,210,215.4,201.8,215.4,138660
2020-06-01,218,224.4,210.4,213.6,41165
2020-06-02,215,216.8,211.2,215.6,29882
2020-06-03,218,223.8,216.8,221.8,46418
2020-06-04,223,226.4,216.4,226.2,59775
2020-06-05,227,248,227,247.6,85919
2020-06-08,251.6,267.8,250,257.6,115155
2020-06-09,262.4,267.4,238,254.8,81032
2020-06-10,252,257,246,251.4,40492
2020-06-12,233,247.8,225,240,52122
2020-06-15,238.2,239,231.2,237.2,39732
2020-06-16,246,249.2,240,244.2,38902
2020-06-17,244.2,247.6,240.8,242.2,29940
