Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,86.2467,89.2161,86.0995,89.2161,864819.09216562
2019-09-02,89.8204,91.3792,89.5088,91.1403,638179.60110489
2019-09-03,90.8287,90.9392,89.1245,90.2604,416341.224212
2019-09-04,90.8287,91.6539,90.0404,90.4992,1077987.2902414
2019-09-05,90.7372,91.5803,90.3161,91.5803,832133.81018465
2019-09-06,91.6539,92.8455,91.6171,92.8455,718971.34801054
2019-09-09,92.8455,96.927,92.7539,96.7382,1685858.3356377
2019-09-10,96.8326,99.4479,96.285,98.1639,1343659.532334
2019-09-11,97.9751,98.9381,97.9278,98.3905,765652.20083068
2019-09-12,98.5321,99.1741,97.7485,98.4377,897627.2352195
2019-09-13,98.4377,98.7115,97.9278,98.3905,459471.8156841
2019-09-16,97.9751,99.3063,97.2953,98.0695,957140.71527494
2019-09-17,98.0223,98.0695,95.964,96.1434,807773.42504005
2019-09-18,95.5958,97.333,95.5014,97.0592,394228.34938378
2019-09-19,97.012,97.3802,95.8696,96.7854,442500.04126858
2019-09-20,97.3802,97.3802,95.001,95.4164,1261721.7881794
2019-09-23,95.3692,95.4164,93.3496,93.4865,508388.52820164
2019-09-24,94.3117,95.0482,93.5328,94.2173,656956.16231547
2019-09-25,93.8075,95.2748,93.4865,95.2748,389004.63549104
2019-09-26,95.643,95.643,93.8991,94.9065,307259.6561232
2019-09-27,94.9065,95.2748,94.4061,94.9538,236364.58046933
2019-09-30,94.1323,95.0482,93.7622,93.8538,311613.810181
2019-10-01,94.0379,94.1323,92.6623,93.1202,374545.15818695
2019-10-02,92.6623,93.0286,90.976,91.0855,393234.86932876
2019-10-03,90.7372,93.1202,90.0961,91.8834,1038408.0192645
2019-10-04,91.6539,93.4412,91.6539,93.0286,515783.4938138
2019-10-07,93.4412,93.4412,92.3875,93.0749,279472.92985065
2019-10-08,92.7992,93.5791,92.4791,93.5791,651591.58184776
2019-10-09,93.8991,96.049,93.2118,95.5486,436781.70564268
2019-10-10,95.5958,95.7752,94.0851,95.322,471499.49106245
2019-10-11,95.7752,96.1906,94.9065,95.8224,692435.47455781
2019-10-14,95.8224,95.8224,94.5855,94.8593,279494.11279426
2019-10-15,95.322,96.691,94.6799,96.691,474652.57221791
2019-10-16,96.285,98.0695,96.285,97.8901,767451.69188984
2019-10-17,97.9751,99.1741,97.5219,98.6171,570973.53507966
2019-10-18,97.8901,98.2489,96.8798,97.6068,556229.14718409
2019-10-21,97.333,98.8059,97.2953,98.8059,203947.26272495
2019-10-22,98.8909,99.5329,97.9751,99.5329,543196.34113173
2019-10-23,99.2591,100.128,98.3433,100.128,481354.85557421
2019-10-24,99.9483,103.8,99.9483,103.8,1477570.6877683
2019-10-25,103.659,104.395,101.553,102.375,1840106.1760789
2019-10-28,101.365,102.649,101.053,102.29,465655.11692211
2019-10-29,103.017,103.432,101.648,102.564,790373.75516373
2019-10-30,102.469,102.79,100.496,100.817,470485.887211
2019-10-31,101.327,101.553,98.8059,98.8059,1036081.0729096
2019-11-04,99.4479,100.128,98.3905,100.09,1029047.2764859
2019-11-05,99.9483,100.128,99.0797,99.4857,471006.98762366
2019-11-06,99.9011,100.817,97.2008,97.5219,862487.909222
2019-11-07,97.5219,97.8429,96.1434,97.1064,763579.44979903
2019-11-08,96.691,97.1536,95.8696,96.285,653945.00688217
2019-11-12,96.5116,96.691,95.4164,95.5486,1077268.129306
2019-11-13,95.7752,95.7752,93.3496,93.9435,723957.81293493
2019-11-14,93.9435,95.643,93.8991,94.8593,414231.40302904
2019-11-15,95.001,95.643,94.6327,95.322,369160.45392281
2019-11-18,95.8696,96.1906,93.9907,94.8593,360606.78129551
2019-11-19,95.0954,95.2276,94.3117,94.9538,403255.46080063
2019-11-20,94.7272,95.322,94.1323,95.322,326299.94498166
2019-11-21,95.0482,95.643,94.4911,95.643,543009.93122802
2019-11-22,95.5014,96.0112,94.6799,95.6902,402986.43741686
2019-11-25,95.4164,96.049,95.0482,95.964,374932.8060549
2019-11-26,96.2378,96.6532,94.6799,95.1804,1757285.103176
2019-11-27,95.1804,95.5958,94.5383,94.6799,283545.35075852
2019-11-28,94.8593,96.0112,93.5791,95.7752,548575.74965997
2019-11-29,94.9065,96.1434,94.9065,96.049,640197.27648317
