Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,7.47,7.76,7.47,7.706,2292561
2019-09-02,7.72,7.79,7.646,7.676,822687
2019-09-03,7.69,7.816,7.602,7.766,1911418
2019-09-04,7.78,8.02,7.702,7.738,1218911
2019-09-05,7.8,7.918,7.648,7.814,1625420
2019-09-06,7.828,7.89,7.73,7.838,971299
2019-09-09,7.85,8.164,7.848,8.112,1360464
2019-09-10,8.19,8.222,8.074,8.1,1729156
2019-09-11,8.102,8.28,8.102,8.218,1785966
2019-09-12,8.218,8.25,8.02,8.082,1077732
2019-09-13,8.092,8.278,8.092,8.162,747916
2019-09-16,8.27,8.51,8.206,8.502,3175466
2019-09-17,8.5,8.796,8.46,8.766,3062510
2019-09-18,8.768,8.846,8.608,8.834,1392795
2019-09-19,8.772,8.806,8.558,8.65,1071150
2019-09-20,8.62,8.73,8.352,8.38,3737049
2019-09-23,8.35,8.49,8.17,8.22,1442983
2019-09-24,8.3,8.3,8.14,8.14,883317
2019-09-25,8.2,8.21,7.674,7.688,2686689
2019-09-26,7.7,8.012,7.7,7.9,2020904
2019-09-27,7.984,8.05,7.794,7.804,1034081
2019-09-30,7.8,8.016,7.63,7.992,2245885
2019-10-01,7.97,8.06,7.88,8,1189155
2019-10-02,8,8.062,7.694,7.74,1337223
2019-10-03,7.77,7.918,7.7,7.808,767431
2019-10-04,7.794,7.966,7.776,7.788,801339
2019-10-07,7.878,8.146,7.8,8.146,1269607
2019-10-08,8.138,8.31,8.036,8.31,2111962
2019-10-09,8.31,8.31,8.024,8.024,1089403
2019-10-10,8.04,8.072,7.904,7.904,3063643
2019-10-11,7.95,8.196,7.92,8.132,775712
2019-10-14,8.15,8.2,7.978,8.018,945592
2019-10-15,8.18,8.47,8.112,8.46,1704459
2019-10-16,8.46,8.56,8.374,8.43,1595800
2019-10-17,8.45,8.466,8.27,8.382,951809
2019-10-18,8.38,8.38,8.19,8.226,1133999
2019-10-21,8.2,8.43,8.174,8.42,1084606
2019-10-22,8.43,8.49,8.312,8.484,1194359
2019-10-23,8.48,8.48,8.34,8.42,672113
2019-10-24,8.442,8.614,8.228,8.25,1631211
2019-10-25,8.25,8.26,8.004,8.04,1310237
2019-10-28,8.046,8.1,7.91,8.01,1858541
2019-10-29,8.01,8.15,8.01,8.108,1383847
2019-10-30,8.15,8.214,8.1,8.214,1503664
2019-10-31,8.366,8.452,8.15,8.19,2533800
2019-11-04,8.254,8.46,8.244,8.4,2109117
2019-11-05,8.44,8.6,8.398,8.498,1388410
2019-11-06,8.498,8.816,8.488,8.798,1353664
2019-11-07,8.84,9.214,8.83,9.156,3170780
2019-11-08,9.16,9.53,9.076,9.524,4149070
2019-11-12,9.49,9.8,9.49,9.76,3298860
2019-11-13,9.6,9.6,8.98,9.036,4411590
2019-11-14,9.056,9.228,8.862,9.16,2848879
2019-11-15,9.104,9.198,9.014,9.112,1153660
2019-11-18,9.098,9.18,8.748,8.79,1895908
2019-11-19,8.762,8.854,8.53,8.694,2195640
2019-11-20,8.652,8.69,8.5,8.562,1654353
2019-11-21,8.55,8.55,8.386,8.468,1987608
2019-11-22,8.47,8.696,8.452,8.522,1954615
2019-11-25,8.62,8.858,8.588,8.73,1415689
