Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,4.4011,4.5457,4.3935,4.5076,6015077
2019-09-02,4.5285,4.5989,4.5285,4.559,2266991
2019-09-03,4.559,4.5647,4.4125,4.4144,4213490
2019-09-04,4.46,4.481,4.2717,4.2717,9342814
2019-09-05,4.3099,4.4087,4.3099,4.3935,3811031
2019-09-06,4.4277,4.462,4.3497,4.3574,3310301
2019-09-09,4.3878,4.5704,4.365,4.5704,5821594
2019-09-10,4.5761,4.7786,4.519,4.7596,8806663
2019-09-11,4.7976,4.8594,4.7073,4.7596,7672235
2019-09-12,4.7834,4.8025,4.6502,4.7016,5880408
2019-09-13,4.6788,4.7786,4.6788,4.7359,3101593
2019-09-16,4.8025,4.869,4.7929,4.8452,7378251
2019-09-17,4.8119,4.9546,4.7976,4.869,11170575
2019-09-18,4.869,4.8975,4.8262,4.869,9584508
2019-09-19,4.8832,4.9308,4.8262,4.9023,3876104
2019-09-20,4.8738,4.8832,4.6788,4.7473,14037006
2019-09-23,4.7473,4.7786,4.616,4.6313,4259029
2019-09-24,4.6408,4.6997,4.6274,4.6293,2352818
2019-09-25,4.6274,4.6274,4.4696,4.4924,4078448
2019-09-26,4.4981,4.5875,4.4391,4.4639,4578990
2019-09-27,4.5019,4.5647,4.4848,4.5533,2289137
2019-09-30,4.5837,4.5837,4.4505,4.4734,3768576
2019-10-01,4.4791,4.481,4.4239,4.4239,4589848
2019-10-02,4.422,4.4487,4.2794,4.2851,3068428
2019-10-03,4.3231,4.3365,4.1919,4.1919,4124314
2019-10-04,4.2223,4.403,4.2052,4.3821,3913462
2019-10-07,4.403,4.403,4.2908,4.3383,3692568
2019-10-08,4.3383,4.4316,4.3022,4.4182,4864765
2019-10-09,4.4049,4.4316,4.344,4.344,3709720
2019-10-10,4.3479,4.3859,4.2946,4.3497,3270589
2019-10-11,4.3745,4.4962,4.3745,4.4734,2917812
2019-10-14,4.4696,4.4696,4.3745,4.4277,2951327
2019-10-15,4.4562,4.4886,4.3859,4.4353,2479866
2019-10-16,4.4505,4.4505,4.365,4.3802,2939818
2019-10-17,4.4144,4.4296,4.3479,4.3935,3259361
2019-10-18,4.422,4.422,4.3459,4.3631,2064906
2019-10-21,4.365,4.4049,4.3288,4.3916,2583349
2019-10-22,4.3935,4.5533,4.3935,4.519,4320656
2019-10-23,4.4867,4.5362,4.46,4.5171,2392699
2019-10-24,4.5457,4.5837,4.4239,4.4468,3092410
2019-10-25,4.4714,4.5228,4.4411,4.4505,2669589
2019-10-28,4.4962,4.6426,4.4962,4.6426,4328318
2019-10-29,4.4791,4.616,4.462,4.616,9780107
2019-10-30,4.6256,4.6313,4.5266,4.6313,4506579
2019-10-31,4.6522,4.6579,4.4468,4.4734,7157198
2019-11-04,4.5171,4.7016,4.5171,4.7016,6356499
2019-11-05,4.7073,4.8547,4.6693,4.8214,6394818
2019-11-06,4.7929,4.8025,4.6979,4.7073,3549203
2019-11-07,4.7188,4.7739,4.6883,4.7596,4437055
2019-11-08,4.7548,4.7929,4.6617,4.7548,4239209
2019-11-12,4.7548,4.8025,4.6807,4.7377,4258824
2019-11-13,4.7454,4.7454,4.6199,4.6579,3808077
2019-11-14,4.6236,4.6883,4.6122,4.6465,2861938
2019-11-15,4.6465,4.7339,4.6217,4.6959,3760833
2019-11-18,4.7263,4.7416,4.5799,4.6142,2478095
2019-11-19,4.6408,4.6579,4.4886,4.5228,4514851
2019-11-20,4.5608,4.5608,4.4239,4.4334,4800654
2019-11-21,4.46,4.462,4.3973,4.4316,4763893
2019-11-22,4.4468,4.5114,4.4239,4.4239,4614479
2019-11-25,4.4696,4.5076,4.4334,4.4677,4233609
2019-11-26,4.4714,4.5742,4.4239,4.5362,14666707
2019-11-27,4.5457,4.5608,4.4696,4.4886,3825918
2019-11-28,4.5057,4.5057,4.4316,4.4639,2285107
2019-11-29,4.4505,4.4924,4.3935,4.3935,3806596
2019-12-02,4.4505,4.4505,4.2451,4.2813,8572787
2019-12-03,4.2908,4.327,4.2604,4.2794,6027699
2019-12-04,4.2813,4.3174,4.2604,4.2794,5737186
2019-12-05,4.2908,4.306,4.2337,4.2337,5269964
2019-12-06,4.2319,4.2337,3.9085,4.0891,17352231
2019-12-09,4.0891,4.1234,4.0493,4.1044,3786890
2019-12-10,4.1177,4.1177,3.9294,3.939,7110120
2019-12-11,3.9465,3.9636,3.8287,3.8287,8316186
2019-12-12,3.861,3.9922,3.8514,3.9636,7416133
2019-12-13,3.9941,4.0245,3.9237,3.9845,4715267
2019-12-16,4.0055,4.0607,3.9656,3.9656,4510998
2019-12-17,3.9731,3.9941,3.9237,3.9579,7333114
2019-12-18,3.956,4.0093,3.9465,3.9941,6170813
2019-12-19,4.0036,4.0416,3.9941,4.0322,5842190
2019-12-20,4.0322,4.0511,4.0055,4.0055,24403181
2019-12-23,4.0131,4.0493,3.9845,4.0322,3331110
2019-12-27,4.0322,4.1443,4.0322,4.1177,3541234
2019-12-30,4.1367,4.1367,4.0721,4.1158,2504367
2020-01-02,4.0968,4.268,4.0968,4.2642,4590475
2020-01-03,4.2794,4.3079,4.2033,4.2642,6330679
2020-01-07,4.2699,4.2927,4.2052,4.209,5119687
2020-01-08,4.1862,4.2204,4.1082,4.1273,4655766
2020-01-09,4.1596,4.2471,4.1596,4.2071,2843588
2020-01-10,4.2413,4.2413,4.1387,4.1557,2077514
2020-01-13,4.171,4.171,4.0721,4.1348,5526025
2020-01-14,4.1367,4.1539,4.0987,4.1348,6704940
2020-01-15,4.1253,4.133,4.0759,4.1082,7218689
2020-01-16,4.1025,4.1253,4.0322,4.0645,4106024
2020-01-17,4.0645,4.0891,4.0379,4.0416,5010033
2020-01-20,4.0702,4.0854,3.9941,4.015,4585016
2020-01-21,3.9941,4.0131,3.861,3.8799,6353245
2020-01-22,3.899,3.899,3.7696,3.7696,9935789
2020-01-23,3.7848,3.8001,3.7126,3.743,6020736
2020-01-24,3.7659,3.8667,3.7564,3.861,4434621
2020-01-27,3.823,3.8248,3.6688,3.6688,5408449
2020-01-28,3.6936,3.7183,3.6327,3.6745,4110710
2020-01-29,3.6765,3.6898,3.5243,3.5243,9741192
2020-01-30,3.471,3.5376,3.4425,3.4882,5692611
2020-01-31,3.5187,3.5243,3.3912,3.4216,10438975
2020-02-03,3.433,3.433,3.3113,3.3836,7055911
2020-02-04,3.4007,3.4996,3.3798,3.4958,7563644
2020-02-05,3.5072,3.5528,3.4634,3.5319,3682896
2020-02-06,3.5471,3.5662,3.4616,3.4616,3598971
2020-02-07,3.471,3.4862,3.4235,3.4407,4095873
2020-02-10,3.4292,3.4521,3.3304,3.355,3397256
2020-02-11,3.3664,3.471,3.3664,3.4425,4733464
2020-02-12,3.471,3.4996,3.435,3.4748,2670145
2020-02-13,3.4901,3.4958,3.3873,3.4616,2816524
2020-02-14,3.4805,3.4805,3.3873,3.4064,2633120
2020-02-17,3.5053,3.5547,3.4521,3.4919,4577744
2020-02-18,3.4901,3.5547,3.4768,3.4901,4029032
2020-02-19,3.5357,3.5433,3.4521,3.5034,2906174
2020-02-20,3.5281,3.5281,3.4805,3.4996,3138358
2020-02-21,3.5015,3.5015,3.4387,3.4577,2990390
2020-02-24,3.4235,3.4235,3.2904,3.2979,4816913
2020-02-25,3.2808,3.3094,3.1421,3.1421,7273921
2020-02-26,3.1382,3.1953,3.1154,3.1364,6834035
2020-02-27,3.1364,3.1364,2.9176,2.9727,7131408
2020-02-28,2.8815,3.0336,2.6818,3.0127,16648441
2020-03-02,3.1477,3.1477,2.9024,2.9575,10314728
2020-03-03,2.9861,3.1154,2.969,3.0393,7326655
2020-03-04,3.0393,3.1211,3.0241,3.0716,5505935
2020-03-05,3.1192,3.1287,2.9424,2.9765,5351099
2020-03-06,2.9481,2.9499,2.8053,2.8092,7599305
2020-03-09,2.5695,2.7122,2.5296,2.5448,8232773
2020-03-10,2.6627,2.6818,2.4782,2.4782,9884480
2020-03-11,2.5296,2.5372,2.3052,2.3299,10759691
2020-03-12,2.2443,2.2443,2.0884,2.113,12431496
2020-03-13,2.2158,2.3641,2.1625,2.2348,13785838
2020-03-16,2.1967,2.4021,2.1112,2.3698,14952981
2020-03-17,2.4916,2.5543,2.3489,2.5144,22297229
2020-03-18,2.5087,2.7959,2.425,2.6532,16643389
2020-03-19,2.7198,2.851,2.6875,2.851,8067176
2020-03-20,2.9099,3.0051,2.891,2.9861,20779803
2020-03-23,2.9442,2.9575,2.7312,2.9271,11774401
2020-03-24,3.0641,3.0793,2.8796,2.9252,7447723
2020-03-25,3.0051,3.0698,2.7388,2.8947,15208447
2020-03-26,2.8377,2.9538,2.7864,2.9366,6816741
2020-03-27,2.9481,2.9481,2.8263,2.8776,6464495
2020-03-30,2.8815,2.891,2.7787,2.8377,6809696
2020-03-31,3.3759,3.4082,3.2352,3.2713,29177925
2020-04-01,3.2142,3.2524,3.1116,3.163,12618786
2020-04-02,3.1449,3.2808,3.0678,3.2048,12092010
2020-04-03,3.1905,3.3189,3.1772,3.2619,13725128
2020-04-06,3.3237,3.3759,3.2333,3.3094,10986182
2020-04-07,3.3284,3.4872,3.3284,3.3684,16818153
2020-04-08,3.3655,3.4358,3.3008,3.3103,10846093
2020-04-09,3.3759,3.4501,3.3113,3.4425,12000222
2020-04-14,3.4805,3.59,3.4045,3.5471,9554682
2020-04-15,3.5471,3.5652,3.435,3.5471,7602185
