Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,34.8173,36.5488,34.7614,36.4464,3541219.5987764
2019-09-02,36.3068,36.6792,36.0275,36.5675,1020695.7843747
2019-09-03,36.3906,36.3906,35.3758,35.7482,1519448.986655
2019-09-04,36.7536,36.7536,35.4876,35.9158,5272203.4658573
2019-09-05,36.3068,36.6047,35.8879,36.3161,2695427.0369429
2019-09-06,36.3161,37.0702,36.2882,36.8467,2335613.5387595
2019-09-09,36.7536,38.3269,36.7536,38.3269,3429191.3053002
2019-09-10,38.057,38.8576,38.029,38.5411,3324755.3101622
2019-09-11,38.6342,38.8855,38.0197,38.3362,2752089.9878966
2019-09-12,38.3362,38.5783,37.8428,38.1128,2577194.2846096
2019-09-13,38.0011,38.5411,38.0011,38.3549,2198924.2400132
2019-09-16,38.2152,38.9321,37.9359,38.8669,3081603.0401937
2019-09-17,38.4945,38.7272,37.9453,38.2618,2206044.973698
2019-09-18,38.1687,38.4573,37.666,38.42,2260027.8476351
2019-09-19,38.178,38.2059,37.6753,38.0197,1995760.4378201
2019-09-20,37.8522,38.2152,36.763,37.0888,6400311.7958361
2019-09-23,36.8747,37.0329,35.711,36.0275,3759708.7151165
2019-09-24,36.1392,37.0515,36.0089,36.9771,3688181.2728775
2019-09-25,36.6419,36.7723,36.1392,36.7257,2148446.4126915
2019-09-26,36.7257,36.884,36.2696,36.7071,3527814.9169763
2019-09-27,36.7536,37.3122,36.7071,37.275,2815647.0207313
2019-09-30,37.2377,37.2377,36.1206,36.6047,2196568.5651044
2019-10-01,36.6978,36.8188,36.0275,36.1672,2120759.4447137
2019-10-02,36.2789,36.4092,34.808,34.808,3282632.4483859
2019-10-03,34.7242,36.6699,33.3278,34.5939,7700370.4298315
2019-10-04,34.7242,35.4596,34.6311,35.1338,2619467.531469
2019-10-07,35.3014,35.3293,34.7056,35.0128,1463342.4605087
2019-10-08,34.9197,35.1152,34.6404,34.6404,3039111.7349638
2019-10-09,34.8638,35.1897,34.5194,34.7242,2110408.6542797
2019-10-10,34.7242,34.8638,33.5326,34.659,3878597.7909196
2019-10-11,34.6125,35.3665,34.5008,35.3386,2150113.5387556
2019-10-14,35.3758,35.3758,33.9794,34.1656,3328458.005744
2019-10-15,34.3797,34.4263,33.8212,34.147,5278715.1399555
2019-10-16,34.2494,34.9942,34.1656,34.5473,6175837.3531886
2019-10-17,34.5939,35.5155,34.5566,35.2455,3734753.3847553
2019-10-18,34.9569,35.2269,34.7242,35.0407,2396824.5642978
2019-10-21,34.9197,35.5062,34.9197,35.4596,1583294.9736851
2019-10-22,35.4689,35.9344,35.05,35.9344,3115220.5513415
2019-10-23,35.7668,35.981,35.6179,35.8692,1795751.4998346
2019-10-24,35.8879,36.4744,35.7668,36.372,2962755.8573781
2019-10-25,36.3068,36.344,35.1245,35.5248,3177424.1184283
2019-10-28,35.3572,36.1765,35.2548,35.9065,1694863.5184786
2019-10-29,35.7668,36.4092,35.441,36.3068,3141789.2988086
2019-10-30,36.3533,36.6885,36.0089,36.1392,2456169.7406266
2019-10-31,36.3999,36.3999,35.441,35.4876,2383202.8983065
2019-11-04,35.8134,36.8374,35.6924,36.7257,3244607.5801241
2019-11-05,36.7257,37.1912,36.5395,37.1167,2823354.2562402
2019-11-06,37.0515,37.2191,36.4464,36.4464,2189513.3563486
