Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,33.184,34.355,33.047,34.209,2574141
2019-09-02,34.301,34.502,33.852,34.319,937529
2019-09-03,34.337,34.337,33.413,33.806,1373360
2019-09-04,33.971,34.209,33.102,33.477,3053998
2019-09-05,33.486,33.806,33.148,33.614,2009110
2019-09-06,33.834,33.834,33.34,33.77,1466219
2019-09-09,33.724,34.584,33.532,34.584,2013675
2019-09-10,34.685,35.334,34.447,35.087,2294551
2019-09-11,35.133,35.572,34.584,34.74,1955905
2019-09-12,34.795,35.179,34.09,34.447,2797191
2019-09-13,34.246,34.868,34.246,34.648,1185678
2019-09-16,34.63,35.005,34.383,34.968,1669755
2019-09-17,34.996,34.996,34.346,34.447,2067416
2019-09-18,34.538,34.95,34.236,34.685,1814028
2019-09-19,34.758,34.886,34.392,34.538,2574305
2019-09-20,34.584,34.74,34.264,34.52,3686047
2019-09-23,34.484,34.538,33.88,34.182,1194589
2019-09-24,34.337,34.392,34.145,34.2,1049136
2019-09-25,34.127,34.401,34.044,34.246,678743
2019-09-26,34.365,34.374,34.044,34.31,1340248
2019-09-27,34.474,34.511,34.255,34.264,989439
2019-09-30,34.264,34.355,34.072,34.2,951229
2019-10-01,34.136,34.218,33.77,33.852,1153505
2019-10-02,33.852,33.999,32.745,32.745,1742625
2019-10-03,32.361,33.23,32.361,32.791,1495023
2019-10-04,32.8,33.45,32.8,33.029,1001225
2019-10-07,33.239,33.413,33.047,33.349,862197
2019-10-08,33.376,33.989,33.303,33.907,1688423
2019-10-09,33.935,34.026,33.651,33.852,2087625
2019-10-10,33.852,33.88,33.312,33.44,1294058
2019-10-11,33.523,34.282,33.468,34.218,1293273
2019-10-14,34.218,34.255,33.752,33.953,976142
2019-10-15,33.999,34.053,33.669,33.971,720437
2019-10-16,33.834,34.118,33.633,33.651,958510
2019-10-17,33.761,34.438,33.651,34.328,1508427
2019-10-18,34.035,34.09,33.34,33.633,2185652
2019-10-21,33.669,34.182,33.587,34.154,1144417
2019-10-22,34.136,34.648,33.962,34.31,1897654
2019-10-23,34.301,34.694,33.944,34.621,1879708
2019-10-24,34.74,35.334,34.621,35.279,2340470
2019-10-25,35.225,35.225,33.761,33.944,3155927
2019-10-28,34.072,34.511,33.944,34.365,1488365
2019-10-29,34.484,34.575,34.191,34.355,1437239
2019-10-30,34.374,34.511,34.035,34.044,1642424
2019-10-31,34.191,34.246,33.66,33.806,1971226
2019-11-04,34.026,34.584,33.642,34.346,3266511
2019-11-05,34.401,34.621,34.09,34.392,1745385
2019-11-06,34.236,34.621,34.127,34.328,1265038
2019-11-07,34.493,34.721,34.337,34.602,841992
2019-11-08,34.602,34.785,34.429,34.74,940392
2019-11-12,34.822,35.097,34.639,34.758,1456223
2019-11-13,34.849,34.895,34.419,34.767,1621530
2019-11-14,34.95,35.728,34.84,34.987,2677119
2019-11-15,34.932,35.435,34.868,35.225,1048619
2019-11-18,35.344,35.508,34.996,35.508,1391347
2019-11-19,35.49,35.847,35.307,35.591,1612657
2019-11-20,35.682,35.746,34.932,35.151,1261359
2019-11-21,35.179,35.179,34.227,34.575,1754529
2019-11-22,34.493,34.868,34.493,34.703,808937
2019-11-25,34.95,35.188,34.758,34.859,833938
2019-11-26,34.831,35.472,34.593,35.472,3714494
2019-11-27,35.389,35.408,35.097,35.17,1836585
2019-11-28,35.069,35.353,34.831,35.307,898378
2019-11-29,35.069,35.426,35.069,35.408,1421432
2019-12-02,35.453,35.499,33.852,33.852,1807362
2019-12-03,33.989,34.035,32.974,33.038,2930485
2019-12-04,33.193,33.88,33.129,33.367,1817034
2019-12-05,33.578,33.715,33.047,33.688,1772255
2019-12-06,33.578,34.2,33.578,34.2,1404195
2019-12-09,34.2,34.575,33.907,34.575,1905031
2019-12-10,34.429,34.484,33.871,34.017,1075540
2019-12-11,33.861,34.2,33.523,34.099,2062208
2019-12-12,34.264,35.316,34.136,35.316,1655657
2019-12-13,35.417,35.664,35.17,35.289,1716068
2019-12-16,35.225,36.066,35.225,35.527,1980868
2019-12-17,35.673,36.505,35.481,36.204,3121557
2019-12-18,36.286,36.78,36.094,36.688,3677602
2019-12-19,36.597,37.128,36.505,36.972,2193217
2019-12-20,36.798,37.375,36.78,37.137,4437141
2019-12-23,37.054,37.054,36.35,36.899,771798
2019-12-27,36.698,37.137,36.441,36.871,845827
2019-12-30,36.871,37.045,36.304,36.624,1013432
2020-01-02,37.036,37.786,36.844,37.786,2196290
2020-01-03,37.53,37.786,36.963,37.42,1893399
2020-01-07,37.137,37.375,36.871,37.064,2368499
2020-01-08,37.036,37.036,36.149,36.286,3032845
2020-01-09,36.688,37.054,36.505,36.798,2535059
2020-01-10,37.045,37.484,36.725,37.42,3215439
2020-01-13,37.329,38.299,37.329,38.244,2254157
2020-01-14,38.244,38.344,37.42,37.759,3873323
2020-01-15,37.512,37.667,36.817,37.091,2678869
2020-01-16,37.32,37.549,37.128,37.466,1521356
2020-01-17,37.512,38.317,37.503,38.107,3044450
2020-01-20,38.107,38.271,37.951,38.207,1144962
2020-01-21,38.107,38.198,37.75,37.796,2094523
2020-01-22,38.088,38.18,37.704,38.061,2545165
2020-01-23,38.152,38.381,37.988,38.061,2447901
2020-01-24,38.29,38.381,37.878,37.96,1889653
2020-01-27,37.603,37.951,37.082,37.137,1102189
2020-01-28,37.265,37.613,37.256,37.411,1517256
2020-01-29,37.402,37.814,36.972,37.146,2583141
2020-01-30,36.972,37.375,36.725,37.146,2320010
2020-01-31,37.146,37.292,36.533,36.798,2895090
2020-02-03,36.634,37.146,36.615,36.89,1610294
2020-02-04,36.881,37.594,36.789,37.091,2287571
2020-02-05,37.091,37.283,36.46,36.57,2412543
2020-02-06,36.615,36.688,35.508,36.048,4469940
2020-02-07,35.957,36.249,35.682,36.039,1464925
2020-02-10,36.039,36.103,35.737,36.103,1164790
2020-02-11,36.295,36.551,36.057,36.249,1390211
2020-02-12,36.487,36.926,36.341,36.698,2103574
2020-02-13,36.634,36.707,36.039,36.323,868528
2020-02-14,36.231,36.588,36.048,36.14,741571
2020-02-17,36.268,36.451,36.112,36.268,582051
2020-02-18,36.13,36.258,36.021,36.231,960196
2020-02-19,36.249,36.844,36.103,36.771,1077692
2020-02-20,36.624,36.945,36.533,36.753,1255594
2020-02-21,36.652,36.908,36.24,36.304,1296195
