Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-30,282.849,301.142,282.849,299.964,58373.549529101
2019-09-02,299.964,299.964,294.847,297.203,18513.294025411
2019-09-03,294.649,296.223,287.175,292.679,39621.843554002
2019-09-04,293.273,299.766,290.917,291.303,52118.266510148
2019-09-05,291.897,298.776,289.343,290.917,30167.19339664
2019-09-06,292.491,296.025,288.749,294.847,25401.985063241
2019-09-09,294.847,303.894,294.065,299.964,23825.031446867
2019-09-10,303.894,303.894,288.551,293.669,49972.558962949
2019-09-11,295.629,300.548,295.045,300.548,53592.17767369
2019-09-12,297.796,311.566,297.796,310.586,63863.085692699
2019-09-13,309.992,314.516,308.814,312.942,45191.187107537
2019-09-16,310.19,314.12,301.142,313.14,74808.820755742
2019-09-17,313.734,313.734,303.894,313.536,61153.675315303
2019-09-18,313.338,315.11,306.448,314.912,64533.87185623
2019-09-19,310.972,311.566,305.27,306.844,54620.581761754
2019-09-20,304.488,306.844,297.014,300.35,189964.82311581
2019-09-23,298.974,307.636,296.619,304.092,53135.558176828
2019-09-24,307.636,307.636,299.172,304.874,79008.305818692
2019-09-25,302.914,302.914,297.014,300.548,28370.011792841
2019-09-26,293.075,309.398,293.075,306.646,63711.552673829
2019-09-27,306.646,318.643,299.172,310.784,66321.961478896
2019-09-30,313.734,313.734,299.172,308.418,84095.774372221
2019-10-01,309.398,310.784,301.142,306.844,83748.258648946
2019-10-02,301.34,308.022,291.501,292.491,114084.15880659
2019-10-03,291.105,305.27,265.536,278.523,183272.11478238
2019-10-04,279.305,285.205,278.91,281.275,238098.7814498
2019-10-07,281.077,283.245,278.91,282.255,31615.849057037
2019-10-08,281.473,286.977,280.097,286.393,53441.654874946
2019-10-09,287.769,287.769,280.879,282.651,22785.514937419
2019-10-10,281.275,283.829,280.097,280.097,28725.609277123
2019-10-11,280.295,292.877,280.295,292.095,47100.503145299
2019-10-14,290.125,295.045,288.155,295.045,32066.407233144
2019-10-15,295.045,296.619,290.323,291.105,20687.287736132
2019-10-16,292.491,292.491,287.571,289.729,32974.595126238
2019-10-17,293.075,295.827,288.947,294.847,60819.292453663
2019-10-18,292.491,294.847,291.897,294.649,131884.23742319
2019-10-21,292.877,303.894,292.877,299.964,43497.047956571
2019-10-22,302.914,313.922,302.122,313.922,115571.20283177
2019-10-23,310.586,318.841,309.398,314.912,68097.928460052
2019-10-24,316.683,317.663,308.418,310.586,86577.885221312
2019-10-25,310.586,310.972,297.401,301.924,91437.04402641
2019-10-28,299.964,311.962,298.588,310.972,36061.827830683
2019-10-29,310.586,310.784,305.864,310.784,43498.058176696
2019-10-30,312.744,312.744,303.498,308.22,32207.838050756
2019-10-31,309.794,309.794,303.894,308.022,51071.678459819
2019-11-04,309.794,315.892,309.794,315.694,47996.568396884
2019-11-05,311.17,315.308,306.844,312.16,83182.535378498
2019-11-06,308.814,314.714,307.636,313.922,47336.894654736
2019-11-07,314.12,314.12,307.824,310.784,57652.25235928
2019-11-08,312.546,312.546,302.518,303.696,32926.104560199
2019-11-12,304.874,308.814,300.944,302.122,56677.389937883
2019-11-13,306.26,306.26,296.223,296.816,55615.648585667
2019-11-14,296.816,302.914,296.816,297.599,35522.370283505
2019-11-15,296.619,300.548,292.679,295.827,43166.705975434
2019-11-18,298.39,298.39,290.917,293.471,39866.316824445
2019-11-19,296.025,296.025,289.729,291.897,39533.954403057
